date,events
17-05-26,5
17-05-27,4
17-05-28,1
17-05-31,1
17-06-01,3
17-06-02,7
17-06-03,7
17-06-07,2
17-06-08,4
17-06-09,5
17-06-10,4
17-06-11,2
17-06-12,1
17-06-13,1
17-06-14,5
17-06-15,1
17-06-16,5
17-06-17,5
17-06-19,1
17-06-21,1
17-06-22,3
17-06-23,4
17-06-24,6
17-06-25,2
17-06-26,1
17-06-28,1
17-06-29,6
17-06-30,6
17-07-01,9
17-07-03,2
17-07-04,1
17-07-05,4
17-07-06,4
17-07-07,8
17-07-08,10
17-07-09,2
17-07-10,2
17-07-11,2
17-07-12,3
17-07-13,7
17-07-14,6
17-07-15,10
17-07-16,2
17-07-17,2
17-07-18,1
17-07-19,3
17-07-20,8
17-07-21,6
17-07-22,6
17-07-23,1
17-07-24,2
17-07-25,2
17-07-26,4
17-07-27,6
17-07-28,8
17-07-29,12
17-07-30,2
17-07-31,2
17-08-01,1
17-08-02,2
17-08-03,4
17-08-04,8
17-08-05,8
17-08-07,2
17-08-08,1
17-08-09,3
17-08-10,5
17-08-11,7
17-08-12,9
17-08-13,3
17-08-14,7
17-08-15,2
17-08-16,2
17-08-17,5
17-08-18,9
17-08-19,9
17-08-20,1
17-08-21,1
17-08-23,4
17-08-24,7
17-08-25,13
17-08-26,10
17-08-27,1
17-08-30,4
17-08-31,4
17-09-01,7
17-09-02,11
17-09-03,1
17-09-04,1
17-09-05,2
17-09-06,7
17-09-07,5
17-09-08,9
17-09-09,8
17-09-10,1
17-09-12,1
17-09-13,4
17-09-14,8
17-09-15,10
17-09-16,13
17-09-17,2
17-09-20,5
17-09-21,5
17-09-22,10
17-09-23,5
17-09-27,2
17-09-28,3
17-09-29,1
17-09-30,7
17-10-06,1
17-10-07,4
17-10-11,2
17-10-14,2
17-10-15,1
17-10-20,1
17-10-21,2
17-10-28,1
17-10-29,1
17-11-02,1
17-11-03,1
17-11-17,1
17-11-25,1
17-12-08,1
17-12-29,1
